id,winner,album_name,track_name,popularity,track_genre,duration_ms
1,1,Comedy,Comedy,73,acoustic,230666.00
2,1,"Ghost (Acoustic)","Ghost - Acoustic",55,acoustic,149610.00
3,1,"To Begin Again","To Begin Again",57,acoustic,210826.00
4,1,"Crazy Rich Asians (Original Motion Picture Soundtrack)","Can't Help Falling In Love",71,acoustic,201933.00
5,1,"Hold On","Hold On",82,acoustic,198853.00
6,1,"Days I Will Remember","Days I Will Remember",58,acoustic,214240.00
7,1,"Is There Anybody Out There?","Say Something",74,acoustic,229400.00
8,1,"We Sing. We Dance. We Steal Things.","I'm Yours",80,acoustic,242946.00
9,1,"We Sing. We Dance. We Steal Things.",Lucky,74,acoustic,189613.00
10,1,Hunger,Hunger,56,acoustic,205594.00
11,1,Episode,"Give Me Your Forever",74,acoustic,244800.00
12,1,"Love Is a Four Letter Word","I Won't Give Up",69,acoustic,240165.00
13,1,Solo,Solo,52,acoustic,198712.00
14,1,"Bad Liar","Bad Liar",62,acoustic,248448.00
15,1,"Hold On (Remix)","Hold On - Remix",56,acoustic,188133.00
16,1,"The Boy Who Never","Falling in Love at a Coffee Shop",58,acoustic,244986.00
17,1,"ily (i love you baby)","ily (i love you baby)",56,acoustic,129750.00
18,1,"At My Worst","At My Worst",54,acoustic,169728.00
19,1,"We Sing. We Dance. We Steal Things.",Lucky,68,acoustic,189613.00
20,1,"Cover Sessions, Vol. 4",Photograph,67,acoustic,260186.00
21,1,"We Sing. We Dance. We Steal Things.","I'm Yours",75,acoustic,242946.00
22,1,"Cover Sessions, Vol. 3",Demons,63,acoustic,174174.00
23,1,"Is There Anybody Out There? - Track by Track Commentary","Say Something",70,acoustic,229400.00
24,1,"Coffee Moment","93 Million Miles",0,acoustic,216386.00
25,1,"Human - Best Adult Pop Tunes",Unlonely,0,acoustic,231266.00
26,1,"Mellow Adult Pop","Bella Luna",1,acoustic,302346.00
27,1,"Holly Jolly Christmas","Winter Wonderland",0,acoustic,131760.00
28,1,"Feeling Good - Adult Pop Favorites","If It Kills Me",0,acoustic,273653.00
29,1,"Christmas Time","Winter Wonderland",0,acoustic,131760.00
30,1,"Perfect Christmas Hits","Winter Wonderland",0,acoustic,131760.00
31,1,"Merry Christmas","Winter Wonderland",0,acoustic,131760.00
32,1,"Christmas Music - Holiday Hits","Winter Wonderland",0,acoustic,131760.00
33,1,"Christmas Country Songs 2022","All I Want For Christmas Is A Real Good Tan",0,acoustic,234186.00
34,1,"Human - Best Adult Pop Tunes","Party of One",0,acoustic,259558.00
35,1,"Feeling Good - Adult Pop Favorites","Party of One",0,acoustic,259558.00
36,1,"Mellow Bars R'n'B","Party of One",0,acoustic,259558.00
37,1,"Chill Christmas Dinner","Lonely This Christmas",0,acoustic,257493.00
38,1,"rainy day indie","Throwing Good After Bad",0,acoustic,247791.00
39,1,"Coffee Moment","This Time Tomorrow",0,acoustic,206267.00
40,1,sadsadchristmas,"Lonely This Christmas",0,acoustic,257493.00
41,1,"Mega Hits Autumn/Fall 2022","The Haves",0,acoustic,306794.00
42,1,"Mellow Adult Pop","When You're Wrong",0,acoustic,266960.00
43,1,"Country Car Hits","You and Me on the Rock",0,acoustic,230098.00
44,1,"Country Road Songs","You and Me on the Rock",0,acoustic,230098.00
45,1,"Finest Country","Speak Your Mind (From the Netflix Series "We The People")",0,acoustic,193943.00
46,1,"Easy Country","You and Me on the Rock",0,acoustic,230098.00
47,1,"Cozy Country","You and Me on the Rock",0,acoustic,230098.00
48,1,"Good Times Country","You and Me on the Rock",0,acoustic,230098.00
49,1,"Laidback Country","You and Me on the Rock",0,acoustic,230098.00
50,1,"Chillin' It - Mellow Day Country","You and Me on the Rock",0,acoustic,230098.00
51,1,"Trampoline (Acoustic)","Trampoline - Acoustic",46,acoustic,213098.00
52,1,Documentary,透明だった世界,61,acoustic,232360.00
53,1,"Black Bear",Pieces,60,acoustic,241119.00
54,1,"The Bedroom Demos","A Drop in the Ocean",68,acoustic,220239.00
55,1,"So Far Away (Acoustic)","So Far Away - Acoustic",52,acoustic,171543.00
56,1,"Black Bear","The Enemy",62,acoustic,286865.00
57,1,"Build It Better","Build It Better",51,acoustic,234473.00
58,1,"Sleepwalking in the Rain","Sleepwalking in the Rain",0,acoustic,216000.00
59,1,"Little Voice",Gravity,67,acoustic,232760.00
60,1,"What's Left of You","What's Left of You",57,acoustic,178600.00
61,1,Pano,Pano,75,acoustic,254400.00
62,1,"The Daylight EP","Sky's Still Blue",62,acoustic,244320.00
63,1,"Montage Of Heck: The Home Recordings","And I Love Her",66,acoustic,124933.00
64,1,"Cover Sessions, Vol. 3","We Can't Stop",64,acoustic,222146.00
65,1,Covers,"Always Be My Baby",62,acoustic,181852.00
66,1,"Midnight Waves","Alone with You",58,acoustic,186584.00
67,1,"Making All Things New","Making All Things New",65,acoustic,159600.00
